squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,hasGuestRoom,price,category
75523,3,0,1,63,9373,3,8,7,7559081.5,0
80771,39,1,1,98,39381,8,6,2,8085989.5,1
55712,58,0,1,19,34457,6,8,9,5574642.1,0
32316,47,0,0,6,27939,10,4,3,3232561.2,0
70429,19,1,1,90,38045,3,7,4,7055052,1
39223,36,0,1,17,39489,8,6,1,3926647.2,0
58682,10,1,1,99,6450,10,9,5,5876376.5,1
86929,100,1,0,11,98155,3,4,10,8696869.3,0
51522,3,0,0,61,9047,8,3,5,5154055.2,0
39686,42,0,0,15,71019,5,8,3,3970892.1,0
23563,21,0,1,90,91058,6,8,10,2366397.3,0
96470,74,1,0,21,92029,4,2,9,9652258.1,0
19127,31,1,0,5,7475,2,9,4,1914688.8,0
13087,44,1,0,77,40475,8,4,0,1320803.4,0
79770,3,0,1,69,54812,10,5,7,7986665.8,0
75985,60,1,0,67,6517,6,9,5,7607322.9,0
64169,88,0,1,6,61711,3,9,9,6420823.1,0
99371,31,1,1,16,96297,7,8,8,9944705.3,1
25966,37,1,1,17,22818,3,1,6,2604486.6,0
41792,43,1,1,10,80768,9,5,5,4187667.7,1
28795,64,1,1,50,97667,3,4,0,2888047.9,1
92383,12,0,0,78,71982,3,7,1,9244344,0
33279,64,1,0,65,91690,3,2,1,3333351.9,0
34782,47,0,0,73,35331,1,4,2,3482594,0
13386,51,0,0,90,87978,4,6,4,1342509.3,0
20883,56,0,0,54,85377,5,9,10,2091505.8,0
95121,46,0,1,3,9382,7,9,10,9515440.4,0
6071,72,1,0,14,8410,2,6,2,612471.3,0
11844,43,0,0,55,46144,6,5,10,1189939.3,0
52078,7,1,1,73,20372,10,4,5,5217708.6,1
25897,98,1,0,92,20344,2,4,10,2598763.3,0
85443,40,1,1,54,339,3,1,2,8555234.1,1
11412,78,0,0,79,73807,1,5,0,1145642.9,0
97550,89,1,1,98,78155,2,5,0,9765099.4,1
76485,47,1,0,9,90254,2,9,1,7653300.8,0
26169,29,0,0,62,66489,9,7,9,2622399.3,0
24239,87,1,0,91,73056,4,7,3,2427801.8,0
36239,8,0,1,24,66771,7,6,5,3627708,0
10500,88,0,1,49,10533,10,1,5,1057021.3,0
87060,27,0,1,91,51803,8,10,7,8711426,0
66683,19,1,1,6,50801,6,2,3,6677649.1,0
